runId,runtimeVariant,service,status,workFactor,endpointMode,logRequests,gomaxprocs,goMemLimit,javaProcessors,javaOpts,notes
sequential_generated_serious_20260607_165332,go-stdlib,go,ran,10,generated,false,12,off,12,"-XX:ActiveProcessorCount=12 -XX:MaxRAMPercentage=75","Go net/http, GOMAXPROCS set explicitly"
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,ran,10,generated,false,12,off,12,"-XX:ActiveProcessorCount=12 -XX:MaxRAMPercentage=75","Helidon SE; health output records virtual-thread request handling"
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,ran,10,generated,false,12,off,12,"-XX:ActiveProcessorCount=12 -XX:MaxRAMPercentage=75","Helidon SE; health output records virtual-thread request handling"
